,customer_code,custmer_name,customer_type
0,Cus001,Surge Stores,Brick & Mortar
1,Cus002,Nomad Stores,Brick & Mortar
2,Cus003,Excel Stores,Brick & Mortar
3,Cus004,Surface Stores,Brick & Mortar
4,Cus005,Premium Stores,Brick & Mortar
5,Cus006,Electricalsara Stores,Brick & Mortar
6,Cus007,Info Stores,Brick & Mortar
7,Cus008,Acclaimed Stores,Brick & Mortar
8,Cus009,Electricalsquipo Stores,Brick & Mortar
9,Cus010,Atlas Stores,Brick & Mortar
10,Cus011,Flawless Stores,Brick & Mortar
11,Cus012,Integration Stores,Brick & Mortar
12,Cus013,Unity Stores,Brick & Mortar
13,Cus014,Forward Stores,Brick & Mortar
14,Cus015,Electricalsbea Stores,Brick & Mortar
15,Cus016,Logic Stores,Brick & Mortar
16,Cus017,Epic Stores,Brick & Mortar
17,Cus018,Electricalslance Stores,Brick & Mortar
18,Cus019,Electricalsopedia Stores,Brick & Mortar
19,Cus020,Nixon,E-Commerce
20,Cus021,Modular,E-Commerce
21,Cus022,Electricalslytical,E-Commerce
22,Cus023,Sound,E-Commerce
23,Cus024,Power,E-Commerce
24,Cus025,Path,E-Commerce
25,Cus026,Insight,E-Commerce
26,Cus027,Control,E-Commerce
27,Cus028,Sage,E-Commerce
28,Cus029,Electricalsocity,E-Commerce
29,Cus030,Synthetic,E-Commerce
30,Cus031,Zone,E-Commerce
31,Cus032,Elite,E-Commerce
32,Cus033,All-Out,E-Commerce
33,Cus034,Expression,E-Commerce
34,Cus035,Relief,E-Commerce
35,Cus036,Novus,E-Commerce
36,Cus037,Propel,E-Commerce
37,Cus038,Leader,E-Commerce
